"Study_ID,Patient_Selection_Risk,Index_Test_Risk,Reference_Standard_Risk,Flow_Timing_Risk"
"Study1,High,Low,Low,Low"
"Study2,Low,Low,Low,Low"
"Study3,Unclear,Low,Low,High"
"Study4,Low,Low,Low,Low"
"Study5,High,Low,Low,Low"
"Study6,Low,Low,Low,Low"
"Study7,Unclear,Low,Low,Low"
"Study8,Low,Low,Low,Low"
"Study9,High,Low,Low,High"
"Study10,Low,Low,Low,Low"
"Study11,Low,Low,Low,Low"
"Study12,Unclear,Low,Low,Low"
"Study13,High,Low,Low,Low"
"Study14,Low,Low,Low,Low"
"Study15,Low,Low,Low,Low"
"Study16,High,Low,Low,Low"
"Study17,Unclear,Low,Low,Low"
"Study18,Low,Low,Low,Low"
"Study19,High,Low,Low,Low"
"Study20,Low,Low,Low,Low"
"Study21,Low,Low,Low,Low"
"Study22,Unclear,Low,Low,High"
"Study23,High,Low,Low,Low"
"Study24,Low,Low,Low,Low"
"Study25,Low,Low,Low,Low"
"Study26,High,Low,Low,Low"
"Study27,Unclear,Low,Low,Low"
"Study28,Low,Low,Low,Low"
"Study29,High,Low,Low,Low"
"Study30,Low,Low,Low,Low"
"Study31,Low,Low,Low,Low"
"Study32,Unclear,Low,Low,Low"
"Study33,High,Low,Low,High"
"Study34,Low,Low,Low,Low"
"Study35,Low,Low,Low,Low"
"Study36,High,Low,Low,Low"
"Study37,Unclear,Low,Low,Low"
"Study38,Low,Low,Low,Low"
"Study39,High,Low,Low,Low"
"Study40,Low,Low,Low,Low"
"Study41,Low,Low,Low,Low"
"Study42,Unclear,Low,Low,Low"
"Study43,High,Low,Low,Low"
"Study44,Low,Low,Low,Low"
"Study45,Low,Low,Low,Low"
"Study46,High,Low,Low,Low"
"Study47,Unclear,Low,Low,High"
"Study48,Low,Low,Low,Low"
"Study49,High,Low,Low,Low"
"Study50,Low,Low,Low,Low"
"Study51,Low,Low,Low,Low"
"Study52,Unclear,Low,Low,Low"
"Study53,High,Low,Low,Low"
"Study54,Low,Low,Low,Low"
"Study55,Low,Low,Low,Low"
"Study56,High,Low,Low,Low"
"Study57,Unclear,Low,Low,Low"
"Study58,Low,Low,Low,Low"
"Study59,High,Low,Low,Low"
"Study60,Low,Low,Low,Low"
"Study61,Low,Low,Low,Low"
"Study62,Unclear,Low,Low,Low"
"Study63,High,Low,Low,High"
"Study64,Low,Low,Low,Low"
"Study65,Low,Low,Low,Low"
"Study66,High,Low,Low,Low"
"Study67,Unclear,Low,Low,Low"
"Study68,Low,Low,Low,Low"
"Study69,High,Low,Low,Low"
"Study70,Low,Low,Low,Low"
"Study71,Low,Low,Low,Low"
"Study72,Unclear,Low,Low,Low"
"Study73,High,Low,Low,Low"
"Study74,Low,Low,Low,Low"
"Study75,Low,Low,Low,Low"
"Study76,High,Low,Low,Low"
"Study77,Unclear,Low,Low,High"
"Study78,Low,Low,Low,Low"
"Study79,High,Low,Low,Low"
"Study80,Low,Low,Low,Low"
"Study81,Low,Low,Low,Low"
"Study82,Unclear,Low,Low,Low"
"Study83,High,Low,Low,Low"
"Study84,Low,Low,Low,Low"
"Study85,Low,Low,Low,Low"
